bond_code,currency_type,tenor,issuance_name,outstanding_volume,interest_payment_method,interest_payment_type,coupon_rate,remaining_tenor,status,face_value,duration,issuance_day,issuance_month,issuance_year,maturity_day,maturity_month,maturity_year
BVBS15178,VND,15 Năm,Ngân hàng Chính sách Xã hội,200,Định kỳ - Cuối kỳ,Standard Coupon,8.1,2844 ngày,Bình thường,100000,15.0109589,15,12,2015,15,12,2030
BVBS16276,VND,3 Năm,Ngân hàng Chính sách Xã hội,3000000,Định kỳ - Cuối kỳ,Standard Coupon,6.2,5 ngày,Hủy niêm yết,100000,3.002739726,26,1,2016,26,1,2019
BVBS16277,VND,3 Năm,Ngân hàng Chính sách Xã hội,2500000,Định kỳ - Cuối kỳ,Standard Coupon,5.9,7 ngày,Hủy niêm yết,100000,3,17,6,2016,17,6,2019
BVBS16278,VND,3 Năm,Ngân hàng Chính sách Xã hội,6000000,Định kỳ - Cuối kỳ,Standard Coupon,5.7,5 ngày,Hủy niêm yết,100000,3,22,6,2016,22,6,2019
BVBS16279,VND,3 Năm,Ngân hàng Chính sách Xã hội,3000000,Định kỳ - Cuối kỳ,Standard Coupon,5.7,7 ngày,Hủy niêm yết,100000,3,5,7,2016,5,7,2019
BVBS16280,VND,3 Năm,Ngân hàng Chính sách Xã hội,3000000,Định kỳ - Cuối kỳ,Standard Coupon,5.6,7 ngày,Hủy niêm yết,100000,3,12,7,2016,12,7,2019
BVBS16281,VND,3 Năm,Ngân hàng Chính sách Xã hội,2500000,Định kỳ - Cuối kỳ,Standard Coupon,5.2,7 ngày,Hủy niêm yết,100000,3,13,9,2016,13,9,2019
BVBS16318,VND,5 Năm,Ngân hàng Chính sách Xã hội,3000000,Định kỳ - Cuối kỳ,Standard Coupon,7.2,7 ngày,Hủy niêm yết,100000,5.005479452,26,1,2016,26,1,2021
BVBS16319,VND,5 Năm,Ngân hàng Chính sách Xã hội,10000000,Định kỳ - Cuối kỳ,Standard Coupon,6.4,7 ngày,Hủy niêm yết,100000,5.002739726,17,6,2016,17,6,2021
BVBS16320,VND,5 Năm,Ngân hàng Chính sách Xã hội,12000000,Định kỳ - Cuối kỳ,Standard Coupon,6.4,7 ngày,Hủy niêm yết,100000,5.002739726,22,6,2016,22,6,2021
BVBS16321,VND,5 Năm,Ngân hàng Chính sách Xã hội,10000000,Định kỳ - Cuối kỳ,Standard Coupon,6.4,7 ngày,Hủy niêm yết,100000,5.002739726,28,6,2016,28,6,2021
BVBS16322,VND,5 Năm,Ngân hàng Chính sách Xã hội,4000000,Định kỳ - Cuối kỳ,Standard Coupon,6.5,7 ngày,Hủy niêm yết,100000,5.002739726,5,7,2016,5,7,2021
BVBS16323,VND,5 Năm,Ngân hàng Chính sách Xã hội,1000000,Định kỳ - Cuối kỳ,Standard Coupon,6.5,7 ngày,Hủy niêm yết,100000,5.002739726,12,7,2016,12,7,2021
BVBS16324,VND,5 Năm,Ngân hàng Chính sách Xã hội,8000000,Định kỳ - Cuối kỳ,Standard Coupon,6.5,7 ngày,Hủy niêm yết,100000,5.002739726,19,7,2016,19,7,2021
BVBS16325,VND,5 Năm,Ngân hàng Chính sách Xã hội,2000000,Định kỳ - Cuối kỳ,Standard Coupon,6.4,7 ngày,Hủy niêm yết,100000,5.002739726,2,8,2016,2,8,2021
